,Gender,Total,American-indian or Alaska Native,Asian,Hispanic,Black or African-American,White,Native-Hawaiian or  Pacific-Islander,Two or more races,Students-with disabilities under IDEA,Students-with disabilities under Section 504,English language learners,Number of schools
0,Male,"70,059 ","1,179 ","1,563 ","17,516 ","13,629 ","33,283 ",487 ,"2,402 ","13,516 ",580 ,"10,269 ","51,265 "
0,Female,"42,236 ",711 ,877 ,"11,369 ","8,612 ","18,996 ",317 ,"1,354 ","5,725 ",237 ,"6,561 ","51,265 "
1,Male,"62,073 ",866 ,"1,076 ","20,684 ","15,510 ","22,163 ",179 ,"1,595 ","10,259 ","1,053 ","11,665 ","51,897 "
1,Female,"43,270 ",676 ,710 ,"14,933 ","10,194 ","15,472 ",136 ,"1,149 ","4,779 ",496 ,"8,239 ","51,897 "
2,Male,"35,099 ",454 ,730 ,"12,731 ","10,202 ","10,053 ",87 ,842 ,"5,703 ",826 ,"7,439 ","51,816 "
2,Female,"26,662 ",333 ,498 ,"10,083 ","7,174 ","7,833 ",64 ,677 ,"2,770 ",494 ,"5,607 ","51,816 "
3,Male,"25,583 ",268 ,483 ,"8,388 ","9,375 ","6,453 ",64 ,552 ,"3,915 ",718 ,"4,506 ","51,776 "
3,Female,"19,999 ",224 ,379 ,"6,970 ","6,743 ","5,172 ",47 ,464 ,"2,060 ",472 ,"3,634 ","51,776 "
4,Male,"19,978 ",171 ,387 ,"5,599 ","8,046 ","5,366 ",46 ,363 ,"3,315 ",894 ,"2,793 ","51,518 "
4,Female,"15,495 ",148 ,315 ,"4,473 ","6,141 ","4,070 ",30 ,318 ,"1,709 ",516 ,"2,033 ","51,518 "
5,Male,"17,490 ",171 ,376 ,"4,848 ","6,213 ","5,460 ",45 ,377 ,"3,013 ",588 ,"2,028 ","50,254 "
5,Female,"12,768 ",125 ,293 ,"3,536 ","4,557 ","3,949 ",28 ,280 ,"1,497 ",305 ,"1,400 ","50,254 "
6,Male,"23,011 ",219 ,349 ,"6,005 ","8,438 ","7,389 ",77 ,534 ,"3,724 ",883 ,"2,142 ","35,775 "
6,Female,"12,951 ",148 ,249 ,"3,679 ","4,705 ","3,809 ",58 ,303 ,"1,333 ",343 ,"1,060 ","35,775 "
7,Male,"28,392 ",333 ,375 ,"6,934 ","10,023 ","10,051 ",90 ,586 ,"4,510 ",960 ,"2,146 ","29,743 "
7,Female,"16,025 ",198 ,236 ,"4,322 ","5,689 ","5,186 ",54 ,340 ,"1,686 ",367 ,"1,188 ","29,743 "
8,Male,"31,193 ",353 ,472 ,"6,765 ","11,271 ","11,617 ",102 ,613 ,"5,618 ","1,023 ","2,123 ","29,778 "
8,Female,"20,628 ",220 ,335 ,"4,537 ","8,166 ","6,861 ",63 ,446 ,"2,564 ",529 ,"1,151 ","29,778 "
9,Male,"146,177 ","1,801 ","2,212 ","42,924 ","48,812 ","47,284 ",265 ,"2,879 ","29,129 ","3,413 ","17,676 ","24,800 "
9,Female,"89,367 ","1,244 ","1,338 ","27,810 ","30,259 ","26,648 ",178 ,"1,890 ","11,616 ","1,601 ","10,956 ","24,800 "
10,Male,"105,649 ","1,224 ","3,227 ","29,976 ","32,482 ","36,172 ",335 ,"2,233 ","19,813 ","2,123 ","11,015 ","24,780 "
10,Female,"68,659 ",940 ,"2,360 ","20,458 ","21,269 ","21,761 ",210 ,"1,661 ","8,407 ","1,032 ","7,021 ","24,780 "
11,Male,"76,921 ","1,012 ","3,045 ","23,094 ","20,706 ","27,088 ",296 ,"1,680 ","14,336 ","1,497 ","8,117 ","24,812 "
11,Female,"52,305 ",686 ,"2,422 ","16,267 ","14,395 ","17,013 ",221 ,"1,301 ","6,439 ",752 ,"5,691 ","24,812 "
12,Male,"97,074 ","1,360 ","4,520 ","28,548 ","22,063 ","38,275 ",378 ,"1,930 ","27,375 ","1,472 ","10,289 ","24,709 "
12,Female,"67,766 ","1,000 ","3,401 ","20,724 ","15,779 ","25,046 ",275 ,"1,541 ","14,477 ",924 ,"7,317 ","24,709 "
